title,address,price,count_rooms,floor,type_obj,square,publication_date,link,images
"2-комн. квартира, Измайловский пр-кт, 85","Москва, Измайловский пр-кт, 85",40 000 руб.  в месяц,2,6 / 9,квартира,45 м2,14 апреля,https://irr.ru/real-estate/rent/2-komnatnaya-kvartira-45-kv-m-7-min-peshkom-ot-metro-pervomayskaya-advert763826187.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/80/a9/ba98d9a83-800x600-763826187-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/80/a9/cc2316e7d-800x600-763826187-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/80/a9/9069609b2-450x600-763826187-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/80/a9/893bb5bf9-800x600-763826187-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/80/a9/4970712ba-800x600-763826187-orig.jpg']"
"3-комн. квартира, Красного Маяка ул, 4к2","Москва, Красного Маяка ул, 4к2",45 000 руб.  в месяц,3,4 / 9,квартира,65 м2,14 апреля,https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-65-kv-m-7-min-peshkom-ot-metro-prazhskaya-advert763826310.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/ac/e1/dcc41e2f5-640x441-763826310-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ac/e1/89a9d25d0-359x442-763826310-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ac/e1/8782ee316-640x439-763826310-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ac/e1/009e7eb30-640x440-763826310-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ac/e1/1592feb63-640x440-763826310-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/ac/e1/340880bf7-359x441-763826310-orig.jpg']"
"4-комн. квартира, Абельмановская ул, 11","Москва, Абельмановская ул, 11",140 000 руб.  в месяц,4,5 / 9,квартира,80 м2,14 апреля,https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-80-kv-m-7-min-peshkom-ot-metro-proletarskaya-advert763826327.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/73/7f/fcb14fd22-640x480-763826327-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/73/7f/5fd08ca7d-299x448-763826327-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/73/7f/88ad11232-270x360-763826327-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/73/7f/e5d8943f8-480x360-763826327-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/73/7f/3442bf43f-480x360-763826327-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/73/7f/60937b24f-640x480-763826327-orig.jpg']"
"5-комн. квартира, Бакунинская ул, 8","Москва, Бакунинская ул, 8",170 000 руб.  в месяц,5,2 / 7,квартира,90 м2,14 апреля,https://irr.ru/real-estate/rent/5-komnatnaya-kvartira-90-kv-m-3-min-peshkom-ot-metro-baumanskaya-advert763826283.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/71/f0/bbc877228-450x600-763826283-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/f0/9442d6c25-450x600-763826283-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/f0/b33d46117-450x600-763826283-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/f0/16eaf72af-800x600-763826283-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/f0/cce256e46-450x600-763826283-orig.jpg']"
"4-комн. квартира, Авиаконструктора Миля ул, 4к2","Москва, Авиаконструктора Миля ул, 4к2",49 000 руб.  в месяц,4,4 / 7,квартира,90 м2,14 апреля,https://irr.ru/real-estate/rent/4-komnatnaya-kvartira-90-kv-m-8-min-peshkom-ot-metro-zhulebino-advert763826219.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/0d/e9/f3598e3d1-640x386-763826219-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/0d/e9/32baf0538-320x437-763826219-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/0d/e9/f37a53a4f-320x440-763826219-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/0d/e9/3b9789851-640x383-763826219-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/0d/e9/30ff8d98b-640x386-763826219-orig.jpg']"
"5-комн. квартира, Парковая 9-я ул, 49к2","Москва, Парковая 9-я ул, 49к2",60 000 руб.  в месяц,5,6 / 9,квартира,110 м2,14 апреля,https://irr.ru/real-estate/rent/5-komnatnaya-kvartira-110-kv-m-5-min-peshkom-ot-metro-schelkovskaya-advert763826252.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/d2/55/654e55de9-625x469-763826252-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/55/2ec8bf491-800x580-763826252-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/55/d6c64c06c-663x493-763826252-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/55/d699d6bb9-800x600-763826252-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/d2/55/d8a9e4b16-800x568-763826252-orig.jpg']"
"3-комн. квартира, Саратовская ул, 5к2","Москва, Саратовская ул, 5к2",50 000 руб.  в месяц,3,2 / 9,квартира,80 м2,14 апреля,https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-80-kv-m-8-min-peshkom-ot-metro-tekstilschiki-advert763826341.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/71/ab/d9769b8c4-546x436-763826341-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ab/53ce2f175-533x480-763826341-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ab/1780d8091-533x480-763826341-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/71/ab/29a18f0e6-530x480-763826341-orig.jpg']"
"3-комн. квартира, Сергиевский Б. пер, 11","Москва, Сергиевский Б. пер, 11",70 000 руб.  в месяц,3,5 / 6,квартира,65 м2,14 апреля,https://irr.ru/real-estate/rent/3-komnatnaya-kvartira-65-kv-m-8-min-peshkom-ot-metro-suharevskaya-advert763826423.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/40/9a/404492919-400x300-763826423-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/40/9a/a15962ff8-640x480-763826423-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/40/9a/01df50545-700x525-763826423-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/40/9a/c06fc68d1-480x360-763826423-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/40/9a/7ea14de42-450x600-763826423-orig.jpg']"
"1-комн. квартира, Годовикова ул, 14","Москва, Годовикова ул, 14",36 000 руб.  в месяц,1,5 / 9,квартира,36 м2,14 апреля,https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-36-kv-m-8-min-peshkom-ot-metro-alekseevskaya-advert763826404.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/79/9b/c6b90bd6a-480x360-763826404-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/79/9b/302ac7027-449x600-763826404-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/79/9b/34087d7cf-380x285-763826404-orig.jpg']"
"1-комн. квартира, 26-ти Бакинских Комиссаров ул, 7к1","Москва, 26-ти Бакинских Комиссаров ул, 7к1",32 000 руб.  в месяц,1,6 / 9,квартира,36 м2,14 апреля,https://irr.ru/real-estate/rent/1-komnatnaya-kvartira-36-kv-m-7-min-peshkom-ot-metro-yugo-zapadnaya-advert763826396.html,"['https://monolith1.izrukvruki.ru/img/catalog/i3/a7/d4/d3d5727f7-405x600-763826396-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/a7/d4/58eb609e5-800x493-763826396-orig.jpg', 'https://monolith1.izrukvruki.ru/img/catalog/i3/a7/d4/32f08256d-405x600-763826396-orig.jpg']"
