Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
title;rooms;address;price;floor;square;publication_date;link;images
;;;;;;;;
2-комнатная квартира, 53 м?, 2/9 эт.;2;Москва, Западный, Проспект Вернадского, просп. Ленинский, 85 ;2 500 руб.  / день;2 из 9;53 м?;Опубликовано 24 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6268832927/;[]
;;;;;;;;
2-комнатная квартира, 36 м?, 7/9 эт.;2;Москва, Северный, Хорошевский, ул. Верхняя, 1 ;2 900 руб.  / день;7 из 9;36 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5900603557/;[]
;;;;;;;;
3-комнатная квартира, 76 м?, 4/6 эт.;3;Москва, Центральный, Тверской, пер. Старопименовский, 16 ;3 500 руб.  / день;4 из 6;76 м?;Опубликовано 28 августа 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5901467767/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 10;10 ;Москва, Юго-Западный, Бутово Южное, ул. Изюмская, 46к2 ;1 500 руб.  / день;50 %;1;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240275369/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 6;6 ;Москва, Юго-Западный, Коньково, ул. Островитянова, 16к3 ;2 000 руб.  / день;30 %;1;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6240254869/;[]
;;;;;;;;
1-комнатная квартира, 35 м?, 3/9 эт.;1;Москва, Северо-Западный, Тушино Северное, ул. Вилиса Лациса, 9 ;2 000 руб.  / день;3 из 9;35 м?;Опубликовано 19 августа 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6076899053/;[]
;;;;;;;;
1-комнатная квартира, 36 м?, 11/12 эт.;1;Москва, Центральный, Тверской, пер. Оружейный, 5 ;2 800 руб.  / день;11 из 12;36 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5900679197/;[]
;;;;;;;;
2-комнатная квартира, 45 м?, 1/5 эт.;1 из 5;Москва, Юго-Восточный, Кузьминки, просп. Волгоградский, 123 ;2 500 руб.  / день;100 %;2;Опубликовано 19 августа 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6066274739/;[]
;;;;;;;;
2-комнатная квартира, 55 м?, 1/5 эт.;2;Москва, Центральный, Хамовники, пер. Пуговишников, 8 ;3 200 руб.  / день;1 из 5;55 м?;Опубликовано 13 сентября 2019 г.;https://www.gdeetotdom.ru/obj/living/msk/5900603157/;[]
;;;;;;;;
1-комнатная квартира, 39 м?, 2/16 эт.;2 из 16;Москва, Южный, Чертаново Южное, ул. Каховка, 33к3 ;2 000 руб.  / день;40 %;1;Опубликовано 26 ноября 2020 г.;https://www.gdeetotdom.ru/obj/living/msk/6259659485/;[]
;;;;;;;;
